OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;TaxParcelIdentificationNumber;Location;CouncilDistrictCode;Neighborhood;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;YearsENERGYSTARCertified;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);OtherFuelUse(kBtu);GHGEmissions(MetricTonsCO2e);GHGEmissionsIntensity(kgCO2e/ft2);DefaultData;Comment;ComplianceStatus;Outlier;2010 Census Tracts;Seattle Police Department Micro Community Policing Plan Areas;City Council Districts;SPD Beats;Zip Codes;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;Address;City;State;ZipCode;Latitude;Longitude;Comments;TotalGHGEmissions;GHGEmissionsIntensity;File Paths
21497;2015;Multifamily MR (5-9);Mid-Rise Multifamily;FAIRMOUNT APTS;1977200435;"""{'latitude': '47.61026764'";'longitude': '-122.34185791';"'human_address': '{""""address"""": """"1901 1ST AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98101""""}'}""";7;DOWNTOWN;1914;1;5;39528;0;39528;"""Multifamily Housing";Office;Restaurant;"Retail Store""";Multifamily Housing;22968;Retail Store;10400;Restaurant;2900;;;57,5;59,3;156,4;161,9;2166711;2231941;0;507274;1730892;4359;435890;0;35.22;0.70;No;;Compliant;;;5;;30;18081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21501;2015;Multifamily MR (5-9);Mid-Rise Multifamily;VENTANA APTS;1977200546;"""{'latitude': '47.61148995'";'longitude': '-122.3447359';"'human_address': '{""""address"""": """"2100 WESTERN AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;2001;1;8;68628;11136;57492;"""Multifamily Housing";Parking;"Retail Store""";Multifamily Housing;47683;Parking;12570;Retail Store;7704;;67;37,1;38;97,9;99,9;2056762;2107122;0;457201;1560036;4968;496791;0;37.26;0.45;No;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21502;2015;Multifamily MR (5-9);Mid-Rise Multifamily;VOLTA APARTMENTS;1977200570;"""{'latitude': '47.613059'";'longitude': '-122.34658';"'human_address': '{""""address"""": """"2233 1ST AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;2010;1;8;54550;12044;42506;"""Multifamily Housing";Parking;"Retail Store""";Multifamily Housing;41599;Parking;12044;Retail Store;907;;;52,2;52,2;132;132;2219744;2219744;0;459884;1569190;6506;650619;0;45.49;0.71;No;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21503;2015;Multifamily HR (10+);High-Rise Multifamily;BELL TOWER APARTMENTS (SHA);1977200590;"""{'latitude': '47.61271978'";'longitude': '-122.3460298';"'human_address': '{""""address"""": """"2215 1ST AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1970;1;16;95700;15229;80471;"""Multifamily Housing";"Parking""";Multifamily Housing;80471;Parking;15229;;;;28.00;45,6;50,9;117,1;132,2;3672931;4092197;0;780487;2663131;10099;1009910;0;72,2;0.63;Yes;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21505;2015;NonResidential;Small- and Mid-Sized Office;UNION STABLES;1977200605;"""{'latitude': '47.61235693'";'longitude': '-122.3462017';"'human_address': '{""""address"""": """"2200 WESTERN AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1909;1;5;48600;0;48600;Office;Office;68048;;;;;;100.00;22.70;22,7;68,8;68,8;1544117;1544117;0;428733;1462897;813;81281;0;14.51;0,17;No;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21506;2015;NonResidential;Mixed Use Property;SCARGO APARTMENTS;1977200610;"""{'latitude': '47.612625'";'longitude': '-122.345848';"'human_address': '{""""address"""": """"2205 1ST AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1910;1;3;29340;0;29340;"""Multifamily Housing";Office;"Restaurant""";Office;12714;Multifamily Housing;11592;Restaurant;2836;;;79,4;90,2;147,6;159,1;2154224;2449513;0;244705;834967;13193;1319292;0;75.89;2.46;No;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21507;2015;Multifamily LR (1-4);Low-Rise Multifamily;LEWISTON APARTMENTS;1977200615;"""{'latitude': '47.612518'";'longitude': '-122.345664';"'human_address': '{""""address"""": """"2201 1ST AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1900;1;3;27140;0;27140;"""Food Service";"Multifamily Housing""";Multifamily Housing;14269;Food Service;12511;;;;;81,7;87,9;145;151,5;2188093;2354793;0;222219;758241;14299;1429883;0;81,23;2.87;No;;Compliant;High Outlier;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21508;2015;NonResidential;Other;WHITE & HITCHCOCK BUILDING/FLYING FISH;1977200625;"""{'latitude': '47.61340882'";'longitude': '-122.3459679';"'human_address': '{""""address"""": """"2228 1ST AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1930;1;2;22710;0;22710;Food Service;Food Service;22710;;;;;;;12.30;12,3;38,5;38,5;278741;278741;0;81694;278752;0;0;0;1.94;0,03;No;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21510;2015;Multifamily MR (5-9);Mid-Rise Multifamily;CONCEPT ONE APTS;1977200650;"""{'latitude': '47.61345568'";'longitude': '-122.3452654';"'human_address': '{""""address"""": """"2219 2ND AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1995;1;5;63861;16910;46951;"""Multifamily Housing";"Parking""";Multifamily Housing;63861;Parking;16910;;;;41.00;63;71,6;131,3;142,8;4024810;4571095;0;583641;1991466;20334;2033427;0;121,88;1.77;No;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21512;2015;Multifamily MR (5-9);Mid-Rise Multifamily;THE HUMPHREY APTS;1977200671;"""{'latitude': '47.61323828'";'longitude': '-122.344871';"'human_address': '{""""address"""": """"2205 2ND AVE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98121""""}'}""";7;DOWNTOWN;1923;1;6;50376;0;50376;;;;;;;;;36.00;33.40;38,1;104,9;119,6;1683053;1918397;0;493275;1683123;0;0;0;11.73;0,09;No;;Compliant;;;5;;9;19576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21515;2015;NonResidential;Small- and Mid-Sized Office;R.D. MERRILL BUILDING;2025049030;"""{'latitude': '47.63659738'";'longitude': '-122.3282322';"'human_address': '{""""address"""": """"1938 FAIRVIEW AVE E""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98102""""}'}""";4;LAKE UNION;2000;1;3;50499;13540;36959;"""Office";"Parking""";Office;36959;Parking;13540;;;;17.00;82;82;257,2;257,2;3030041;3030041;0;887047;3026728;34;3438;0;21,28;0.16;No;;Compliant;;;17;;10;18376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21520;2015;NonResidential;Small- and Mid-Sized Office;DESIGN SERVICE BLDG;2025049040;"""{'latitude': '47.63613246'";'longitude': '-122.3271876';"'human_address': '{""""address"""": """"1910 FAIRVIEW AVE E""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98102""""}'}""";4;LAKE UNION;1964;1;5;54465;9605;44860;"""Office";"Parking""";Office;57972;Parking;0;;;;68.00;64,2;65,6;183,4;182,6;3721129;3804232;0;943129;3218088;5032;503174;0;49,16;0.65;No;;Compliant;;;17;;10;18376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21521;2015;NonResidential;K-12 School;SAINT NICHOLAS BUILDING;2025049052;"""{'latitude': '47.63252748'";'longitude': '-122.3207884';"'human_address': '{""""address"""": """"1501 10TH AVE E""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98102""""}'}""";3;EAST;1930;1;2;45960;0;45960;K-12 School;K-12 School;45960;;;;;;58.00;88.70;110,4;133,3;156,2;4075193;5074849;0;259236;884550;31907;3190679;0;175.62;3,74;Yes;;Compliant;;;16;;4;18376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21524;2015;Multifamily LR (1-4);Low-Rise Multifamily;MINOR TOWER 34 UNIT;2025049091;"""{'latitude': '47.64271061'";'longitude': '-122.3286027';"'human_address': '{""""address"""": """"2525 MINOR AVE E""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98102""""}'}""";4;LAKE UNION;1974;1;4;37361;4735;32626;"""Multifamily Housing";"Parking""";Multifamily Housing;32626;Parking;4735;;;;95.00;21,3;23,1;66,8;72,6;694479;753830;0;203540;694507;0;0;0;4,84;0.05;Yes;;Compliant;;;17;;10;18376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21526;2015;Multifamily LR (1-4);Low-Rise Multifamily;LAKE VIEW APARTMENTS;2025049128;"""{'latitude': '47.63363488'";'longitude': '-122.3227195';"'human_address': '{""""address"""": """"1551 LAKEVIEW BLVD E""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98102""""}'}""";3;EAST;1949;1;3;21112;0;21112;Multifamily Housing;Multifamily Housing;21112;;;;;;98.00;36.00;41,8;58,5;64,6;760008;882251;0;61386;209457;5506;550560;0;30.7;1,41;No;;Compliant;;;16;;4;18376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21527;2015;Multifamily LR (1-4);Low-Rise Multifamily;PARKSIDE APARTMENTS;2026049013;"""{'latitude': '47.72641649'";'longitude': '-122.3151812';"'human_address': '{""""address"""": """"1203 NE 135TH ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1987;1;3;22646;0;22646;Multifamily Housing;Multifamily Housing;22646;;;;;;56.00;29.50;32,6;92,5;102,4;666930;738279;0;195466;666957;0;0;0;4.65;0,08;Yes;;Compliant;;117;46;2;26;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21530;2015;NonResidential;Small- and Mid-Sized Office;SPACE NEEDLE CORPORATE OFFICE;1991200520;"""{'latitude': '47.62007385'";'longitude': '-122.3454149';"'human_address': '{""""address"""": """"203 6TH AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;1959;1;2;21128;0;21128;Office;Office;21128;;;;;;85.00;32.40;30,5;101,8;95,7;684865;644122;0;200722;684893;0;0;0;4.77;0,09;No;;Compliant;;;56;;40;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21532;2015;Multifamily MR (5-9);Mid-Rise Multifamily;TAYLOR 28;1991200600;"""{'latitude': '47.61915919'";'longitude': '-122.3459466';"'human_address': '{""""address"""": """"100 TAYLOR AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;2010;1;6;191832;138292;53540;"""Multifamily Housing";Parking;"Retail Store""";Multifamily Housing;141444;Parking;103018;Retail Store;11602;;93;43,2;48;88,5;95,8;6609358;7345153;0;927156;3163586;34459;3445903;0;205.07;1.00;No;;Compliant;;;56;;40;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21533;2015;NonResidential;Mixed Use Property;HYATT PLACE;1991200695;"""{'latitude': '47.6189677'";'longitude': '-122.3446084';"'human_address': '{""""address"""": """"110 6TH AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;2008;1;4;274442;105499;168943;"""Hotel";Multifamily Housing;Parking;"Retail Store""";Hotel;108763;Parking;105499;Multifamily Housing;58152;;;53,6;56,5;125,8;131,8;9049598;9544963;0;1648636;5625380;34245;3424452;0;221.09;0.72;No;;Compliant;;;56;;40;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21534;2015;NonResidential;Small- and Mid-Sized Office;EMP ADMINISTRATIVE OFFICE;1991200705;"""{'latitude': '47.61948966'";'longitude': '-122.3445994';"'human_address': '{""""address"""": """"120 6TH AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;2013;1;3;51552;0;51552;"""Data Center";"Office""";Office;54150;Data Center;650;;;;;24,3;24,3;76,1;76,1;1328920;1328920;0;389484;1328975;0;0;0;9,26;0.07;No;;Compliant;;;56;;40;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21535;2015;NonResidential;Hotel;TRAVELODGE BY THE SPACE NEEDLE;1991200765;"""{'latitude': '47.62021531'";'longitude': '-122.3445668';"'human_address': '{""""address"""": """"200 6TH AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;1959;1;4;38520;0;38520;Hotel;Hotel;38500;;;;;;45.00;61.30;63,8;151,2;159;2361960;2456462;0;468790;1599579;7624;762448;0;51.64;1,16;No;;Compliant;;;56;;40;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21537;2015;NonResidential;Hotel;SEATTLE PACIFIC HOTEL;1991200800;"""{'latitude': '47.62174132'";'longitude': '-122.3441361';"'human_address': '{""""address"""": """"325 AURORA AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;1961;1;3;29186;4256;24930;Hotel;Hotel;19000;;;;;;91.00;50.90;51,9;97,6;100,7;967697;986585;0;117473;400833;5669;566880;0;32.9;1,07;No;;Compliant;;;56;;40;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21539;2015;Multifamily MR (5-9);Mid-Rise Multifamily;BOREALIS APARTMENTS;1991201030;"""{'latitude': '47.61877328'";'longitude': '-122.342825';"'human_address': '{""""address"""": """"109 DEXTER AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;2008;1;6;60364;15647;44717;;;;;;;;;;44.30;47,2;103,2;107,8;2011411;2143256;0;361339;1232940;7785;778522;0;49.94;0,74;No;;Compliant;;;56;;7;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21546;2015;NonResidential;Worship Facility;UNITY CHURCH;1991201375;"""{'latitude': '47.62006912'";'longitude': '-122.3407066';"'human_address': '{""""address"""": """"200 8TH AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;1960;1;1;27338;0;27338;Worship Facility;Worship Facility;27338;;;;;;65.00;19.20;24,6;60,4;77,4;526059;673616;0;154179;526081;0;0;0;3.67;0,05;No;;Compliant;;;56;;7;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21547;2015;Multifamily MR (5-9);Mid-Rise Multifamily;DENNY PARK APTS + RETAIL;1991201405;"""{'latitude': '47.62067879'";'longitude': '-122.3407133';"'human_address': '{""""address"""": """"230 8TH AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;LAKE UNION;2005;1;6;79480;14480;65000;Multifamily Housing;Multifamily Housing;65000;;;;;;94.00;30.20;32,6;63,4;65,8;1965855;2119024;0;288001;982698;9832;983197;0;59.07;0,69;Yes;;Compliant;;;56;;7;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21548;2015;Multifamily LR (1-4);Low-Rise Multifamily;PUGET VISTA APTS;1992200030;"""{'latitude': '47.62305186'";'longitude': '-122.3623121';"'human_address': '{""""address"""": """"411 W REPUBLICAN ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98119""""}'}""";7;MAGNOLIA / QUEEN ANNE;1967;1;4;40086;6133;33953;;;;;;;;;;;;;;;;;;;;;;;;No;;Not Compliant;;;50;;40;19575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21549;2015;NonResidential;Other;ALEXANDRIA BIOTECH;1992200045;"""{'latitude': '47.62239431'";'longitude': '-122.3623497';"'human_address': '{""""address"""": """"410 W HARRISON ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98119""""}'}""";7;MAGNOLIA / QUEEN ANNE;1962;1;2;34416;0;34416;"""Laboratory";Office;"Parking""";Laboratory;20649;Office;13767;Parking;2000;;1;318,9;341,7;629,7;638,5;10975751;11759214;0;1422972;4855382;61206;6120570;0;358.91;9.82;No;;Compliant;;;50;;40;19575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21550;2015;NonResidential;Small- and Mid-Sized Office;BAYVIEW  BUILDING;1992200400;"""{'latitude': '47.61952541'";'longitude': '-122.3584613';"'human_address': '{""""address"""": """"129 1ST AVE W""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98119""""}'}""";7;MAGNOLIA / QUEEN ANNE;1930;1;3;45864;0;45864;Office;Office;45864;;;;;;89.00;66.40;87,2;95,5;116,7;3043767;4001200;0;165772;565638;24782;2478153;0;135.56;2,9;No;;Compliant;;;50;;40;19575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21555;2015;Multifamily LR (1-4);Low-Rise Multifamily;DEXTER PLACE CONDOMINIUM;2023500000;"""{'latitude': '47.63869344'";'longitude': '-122.3442697';"'human_address': '{""""address"""": """"2145 DEXTER AVE N""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98109""""}'}""";7;MAGNOLIA / QUEEN ANNE;1985;1;4;22984;2390;20594;"""Multifamily Housing";"Parking""";Multifamily Housing;25094;Parking;2390;;;;61.00;25,2;25,2;79,3;79,3;633408;633408;0;185641;633434;0;0;0;4,42;0.07;No;;Compliant;;;50;;7;18390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21556;2015;Multifamily LR (1-4);Low-Rise Multifamily;JACKSON GREENS APTS;2026049019;"""{'latitude': '47.72608669'";'longitude': '-122.3128924';"'human_address': '{""""address"""": """"13341 15TH AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1985;1;3;72459;0;72459;"""Multifamily Housing";"Parking""";Multifamily Housing;66263;Parking;0;;;;84.00;33,7;37,4;106;117,5;2236167;2480004;0;655383;2236260;0;0;0;15,59;0.08;No;;Compliant;;117;46;2;26;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21557;2015;NonResidential;K-12 School;LAKESIDE MIDDLE SCHOOL;2026049022;"""{'latitude': '47.72750101'";'longitude': '-122.3270372';"'human_address': '{""""address"""": """"13510 1ST AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTHWEST;1999;1;2;49252;0;49252;K-12 School;K-12 School;61099;;;;;;7.00;63.60;71,5;150,7;159;3886929;4367564;0;719081;2453607;14334;1433424;0;93.23;1,68;No;;Compliant;;122;46;;33;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21562;2015;Multifamily LR (1-4);Low-Rise Multifamily;DIPLOMAT CONDOMINIUM;2041200000;"""{'latitude': '47.56337909'";'longitude': '-122.3877145';"'human_address': '{""""address"""": """"4444 44TH AVE SW""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98116""""}'}""";1;SOUTHWEST;1975;1;4;33948;0;33948;Multifamily Housing;Multifamily Housing;24242;;;;;;100.00;7.10;7,8;22,3;24,6;172360;189837;0;50516;172367;0;0;0;1.2;0,01;No;;Compliant;Low Outlier;;1;;50;18795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21563;2015;Multifamily LR (1-4);Low-Rise Multifamily;DISCOVERY PARK CONDOMINIUM;2041500000;"""{'latitude': '47.65814773'";'longitude': '-122.4027252';"'human_address': '{""""address"""": """"3505 W GOVERNMENT WAY""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98199""""}'}""";7;MAGNOLIA / QUEEN ANNE;1976;1;3;20930;0;20930;"""Multifamily Housing";"Parking""";Multifamily Housing;20930;Parking;4000;;;;;23,9;27,3;75,1;85,8;500256;572148;0;146617;500277;0;0;0;3,49;0.06;No;;Compliant;;;33;;27;18235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21565;2015;Multifamily LR (1-4);Low-Rise Multifamily;KIMBERLY APTS;2044500281;"""{'latitude': '47.71490045'";'longitude': '-122.3129621';"'human_address': '{""""address"""": """"11725 15TH AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1989;1;4;51510;11878;39632;Multifamily Housing;Multifamily Housing;51510;;;;;;87.00;22.80;25,2;71,5;79,1;1172785;1297233;0;343724;1172834;0;0;0;8.18;0,06;Yes;;Compliant;;122;46;1;26;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21567;2015;Multifamily LR (1-4);Low-Rise Multifamily;RIVIERA NORTHGATE APTS;2044500350;"""{'latitude': '47.71308109'";'longitude': '-122.3129924';"'human_address': '{""""address"""": """"11540 PINEHURST WAY NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1970;1;4;36408;0;36408;Multifamily Housing;Multifamily Housing;36408;;;;;;;24.60;26,5;77,4;83,1;896976;964052;0;262889;897014;0;0;0;6.25;0,07;No;;Compliant;;;46;;26;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21568;2015;Multifamily LR (1-4);Senior Care Community;BROOKDALE AT NORTHGATE;2044500360;"""{'latitude': '47.71252241'";'longitude': '-122.3131725';"'human_address': '{""""address"""": """"11501 15TH AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1962;1;4;89391;0;89391;"""Parking";"Senior Care Community""";Senior Care Community;91694;Parking;3131;;;;59.00;56,7;64,1;144;159,4;5197990;5880258;0;1086209;3706299;14918;1491844;0;105,07;1.00;No;;Compliant;;;46;;26;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21569;2015;Multifamily LR (1-4);Low-Rise Multifamily;PINEHURST APTS;2044500380;"""{'latitude': '47.71247348'";'longitude': '-122.3142482';"'human_address': '{""""address"""": """"11500 PINEHURST WAY NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1978;1;4;51387;0;51387;Multifamily Housing;Multifamily Housing;53972;;;;;;82.00;21.70;23,7;68,1;74,4;1170395;1278312;0;343023;1170443;0;0;0;8.16;0,06;No;;Compliant;;;46;;26;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21570;2015;SPS-District K-12;K-12 School;PINEHURST ELEMENTARY (SPS-DISTRICT);2044500390;"""{'latitude': '47.71334315'";'longitude': '-122.3145902';"'human_address': '{""""address"""": """"11530 12TH AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98125""""}'}""";5;NORTH;1950;1;1;34005;0;34005;K-12 School;K-12 School;34005;;;;;;;;;;;;;;;;;;;;;No;Under construction starting 6/2013 (old building demolished) and ending 9/2016. New Building re-opened 9/2016.  Year built changed from 1950 to 2016.;Compliant;;;46;;26;19579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21572;2015;Multifamily LR (1-4);Low-Rise Multifamily;CRYSTAL COURT APTS & RETAIL;2061100030;"""{'latitude': '47.68979315'";'longitude': '-122.3233437';"'human_address': '{""""address"""": """"8401 5TH AVE NE""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98115""""}'}""";4;NORTH;1989;1;4;25763;5204;20559;"""Multifamily Housing";Office;"Parking""";Multifamily Housing;18353;Parking;5204;Office;2206;;;24,7;26,8;77,5;84,3;507752;551810;0;148813;507772;0;0;0;3.54;0.05;No;;Compliant;;;53;;28;18792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
21578;2015;SPS-District K-12;K-12 School;GENESEE SCHOOL (SPS-DISTRICT);2095200005;"""{'latitude': '47.56546417'";'longitude': '-122.3968811';"'human_address': '{""""address"""": """"5012 SW GENESEE ST""""";"""""city"""": """"SEATTLE""""";"""""state"""": """"WA""""";"""""zip"""": """"98116""""}'}""";1;SOUTHWEST;1949;1;1;41221;0;41221;K-12 School;K-12 School;41221;;;;;;;;;;;;;;;;;;;;;Yes;Under construction starting 6/2013 (old building demolished) and ending 9/2016. New Building re-opened 9/2016. Year built changed from 1949 to 2016.;Compliant;Low Outlier;;1;;50;18795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-building-energy-benchmarking.csv
